Image_ID,Root_Rot_Severity,Soil_Moisture_Percent,Root_Zone_Temp_C,Substrate_EC_mS_cm,Substrate_pH,Days_Since_Planting
plant_0000_severity_1.jpg,1,65.43,22.38,1.8,5.83,8
plant_0001_severity_1.jpg,1,63.64,24.28,0.81,5.74,6
plant_0002_severity_2.jpg,2,81.4,20.26,1.17,4.71,23
plant_0003_severity_1.jpg,1,59.88,22.59,1.56,5.76,7
plant_0004_severity_2.jpg,2,83.93,21.82,1.84,5.5,12
plant_0005_severity_0.jpg,0,58.47,22.0,1.24,6.57,3
plant_0006_severity_1.jpg,1,70.21,25.34,1.48,6.23,7
plant_0007_severity_3.jpg,3,64.95,22.51,2.58,6.25,35
plant_0008_severity_2.jpg,2,65.43,25.6,0.91,5.09,15
plant_0009_severity_0.jpg,0,48.25,17.02,1.62,6.6,3
plant_0010_severity_3.jpg,3,90.35,24.45,2.35,6.2,34
plant_0011_severity_0.jpg,0,45.75,19.29,1.74,6.87,8
plant_0012_severity_3.jpg,3,72.94,26.44,2.14,4.42,35
plant_0013_severity_3.jpg,3,71.41,22.35,2.89,4.8,15
plant_0014_severity_0.jpg,0,52.72,17.08,2.08,7.34,1
plant_0015_severity_0.jpg,0,62.65,24.74,2.18,7.18,7
plant_0016_severity_0.jpg,0,55.66,21.48,2.0,6.46,4
plant_0017_severity_1.jpg,1,67.52,21.77,0.9,5.82,9
plant_0018_severity_2.jpg,2,70.16,22.47,1.36,6.75,14
plant_0019_severity_0.jpg,0,62.26,22.12,1.43,6.47,10
plant_0020_severity_0.jpg,0,53.79,19.61,2.28,7.5,2
plant_0021_severity_2.jpg,2,84.99,25.08,1.44,5.87,18
plant_0022_severity_3.jpg,3,76.51,24.92,2.05,4.19,11
plant_0023_severity_1.jpg,1,57.09,23.26,1.77,6.09,9
plant_0024_severity_1.jpg,1,74.1,20.82,2.11,5.65,9
plant_0025_severity_3.jpg,3,88.95,21.25,2.86,5.0,30
plant_0026_severity_0.jpg,0,54.49,20.98,2.12,6.69,5
plant_0027_severity_2.jpg,2,70.74,22.74,1.18,5.09,17
plant_0028_severity_1.jpg,1,66.23,22.55,1.32,5.97,11
plant_0029_severity_0.jpg,0,55.19,22.1,1.46,6.46,4
plant_0030_severity_2.jpg,2,74.49,22.48,1.07,4.58,16
plant_0031_severity_3.jpg,3,91.75,23.99,3.22,4.49,17
plant_0032_severity_1.jpg,1,78.72,21.37,1.33,4.88,9
plant_0033_severity_0.jpg,0,66.97,20.6,1.39,6.22,8
